name,source_path,size_bytes,sha256,mentions_traffic_two_lanes,mentions_probe
Multi Probes 1 Direction.nlogo,/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2018/Probes/AV-Probes-DataAndModels/Blake Davis/Multi Probes 1 Direction.nlogo,108867,75c7f466bee758f516cd4e5d7e8c11a4acf2acbde55440af6d51bfb7d4eca449,yes,yes
1 Probe 1 Direction.nlogo,/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2018/Probes/AV-Probes-DataAndModels/Blake Davis/1 Probe 1 Direction.nlogo,31002,6c0b61a219f6dc803e4b7c5797560655ba6eb93f22075dcb0ec245720806d449,yes,yes
1 Probe 2 Direction.nlogo,/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2018/Probes/AV-Probes-DataAndModels/Blake Davis/1 Probe 2 Direction.nlogo,34465,f55a1fa3a56c842fb50b4ba46e2e993258f02ee37aed690fb384f705df550c74,yes,yes
50percent density.nlogo,/Users/dlev2617/Documents/U Sydney Academics/Theses - Honours and Masters/Undergraduate-Masters Theses 2018/Probes/AV-Probes-DataAndModels/Bichen Liu/50% density.nlogo,164194,93d7d49653b68df46d59f2b92f04d010ad6b8a5165212c4e7993445df56fe714,yes,yes
